Tiempo [s]/	Frecuencia [Hz]	/	Intesidad [dB] 	/	Formante 1 [Hz]	/	Formante 2 [Hz]	/	Formante 3 [Hz]
1.6450    /	142.99         	/	64.06          	/	728.26         	/	1426.33        	/	2551.32        
1.6550    /	143.11         	/	64.00          	/	728.98         	/	1427.23        	/	2557.77        
1.6650    /	143.20         	/	64.02          	/	728.80         	/	1418.86        	/	2561.36        
1.6750    /	142.86         	/	63.99          	/	726.71         	/	1412.02        	/	2553.42        
1.6850    /	142.78         	/	63.84          	/	728.78         	/	1421.10        	/	2555.58        
1.6950    /	142.78         	/	63.70          	/	727.20         	/	1432.25        	/	2552.13        
1.7050    /	142.85         	/	63.56          	/	727.63         	/	1434.93        	/	2551.54        
1.7150    /	142.60         	/	63.34          	/	722.56         	/	1430.09        	/	2542.81        
1.7250    /	143.03         	/	63.22          	/	719.23         	/	1424.70        	/	2538.85        
1.7350    /	143.16         	/	63.13          	/	726.25         	/	1435.10        	/	2546.63        
1.7450    /	143.32         	/	63.03          	/	725.97         	/	1430.02        	/	2549.61        
1.7550    /	143.44         	/	62.97          	/	729.59         	/	1444.42        	/	2559.14        
1.7650    /	143.53         	/	62.92          	/	728.16         	/	1437.94        	/	2555.78        
1.7750    /	143.80         	/	62.88          	/	729.25         	/	1439.38        	/	2558.88        
1.7850    /	143.81         	/	62.85          	/	729.91         	/	1443.52        	/	2560.86        
1.7950    /	143.68         	/	62.82          	/	726.92         	/	1437.41        	/	2560.27        
1.8050    /	143.80         	/	62.76          	/	722.77         	/	1424.13        	/	2553.80        
1.8150    /	143.60         	/	62.70          	/	724.83         	/	1434.06        	/	2558.80        
1.8250    /	143.64         	/	62.62          	/	726.08         	/	1433.35        	/	2555.91        
1.8350    /	143.73         	/	62.54          	/	723.60         	/	1424.80        	/	2553.26        
1.8450    /	143.77         	/	62.47          	/	724.21         	/	1427.08        	/	2556.97        
1.8550    /	143.85         	/	62.41          	/	723.99         	/	1424.60        	/	2557.57        
1.8650    /	143.70         	/	62.36          	/	723.33         	/	1430.86        	/	2560.72        
1.8750    /	143.50         	/	62.25          	/	720.70         	/	1419.28        	/	2551.00        
1.8850    /	143.82         	/	62.16          	/	722.52         	/	1418.51        	/	2556.66        
1.8950    /	143.79         	/	62.16          	/	724.53         	/	1422.86        	/	2565.13        
