Tiempo [s]/	Frecuencia [Hz]	/	Intesidad [dB] 	/	Formante 1 [Hz]	/	Formante 2 [Hz]	/	Formante 3 [Hz]
1.8823    /	439.98         	/	63.80          	/	441.34         	/	1777.93        	/	3039.09        
1.8923    /	439.91         	/	63.76          	/	441.59         	/	1714.71        	/	2845.38        
1.9023    /	439.98         	/	63.72          	/	441.12         	/	1749.23        	/	2943.29        
1.9123    /	440.12         	/	63.75          	/	441.27         	/	1922.59        	/	3001.82        
1.9223    /	439.96         	/	63.81          	/	441.52         	/	1823.81        	/	2981.47        
1.9323    /	440.07         	/	63.81          	/	442.03         	/	1634.98        	/	2845.92        
1.9423    /	440.04         	/	63.80          	/	445.78         	/	1561.11        	/	2669.32        
1.9523    /	439.97         	/	63.84          	/	443.06         	/	1647.37        	/	2790.83        
1.9623    /	440.15         	/	63.90          	/	442.15         	/	1908.17        	/	3041.73        
1.9723    /	439.84         	/	63.92          	/	441.54         	/	1989.24        	/	2842.49        
1.9823    /	439.79         	/	63.84          	/	441.83         	/	1901.08        	/	2563.92        
1.9923    /	439.79         	/	63.82          	/	440.96         	/	1667.05        	/	2801.05        
2.0023    /	439.97         	/	63.78          	/	441.44         	/	1754.98        	/	3003.93        
2.0123    /	440.38         	/	63.71          	/	441.48         	/	1766.43        	/	3137.81        
2.0223    /	440.09         	/	63.70          	/	441.28         	/	1926.96        	/	2933.32        
2.0323    /	439.96         	/	63.72          	/	441.00         	/	1861.49        	/	2947.23        
2.0423    /	440.00         	/	63.69          	/	441.03         	/	1771.56        	/	2945.73        
2.0523    /	440.01         	/	63.65          	/	441.02         	/	1844.85        	/	2860.65        
2.0623    /	440.21         	/	63.69          	/	441.61         	/	1816.02        	/	2884.74        
2.0723    /	439.98         	/	63.77          	/	441.96         	/	1782.38        	/	2959.79        
2.0823    /	439.78         	/	63.76          	/	440.97         	/	1797.07        	/	3038.16        
2.0923    /	439.96         	/	63.75          	/	440.97         	/	1941.10        	/	2745.72        
2.1023    /	440.08         	/	63.83          	/	441.79         	/	1867.03        	/	3157.13        
2.1123    /	440.29         	/	63.96          	/	442.07         	/	1886.31        	/	3141.08        
2.1223    /	439.93         	/	63.97          	/	441.62         	/	1954.86        	/	3104.48        
2.1323    /	439.81         	/	63.91          	/	440.76         	/	1785.18        	/	3046.29        
2.1423    /	439.87         	/	63.86          	/	441.09         	/	1763.32        	/	2979.06        
2.1523    /	439.95         	/	63.83          	/	442.18         	/	1984.31        	/	3191.67        
2.1623    /	440.11         	/	63.81          	/	441.96         	/	1916.95        	/	2816.24        
2.1723    /	440.15         	/	63.85          	/	441.45         	/	1734.23        	/	2761.72        
2.1823    /	439.90         	/	63.85          	/	441.12         	/	1988.55        	/	2945.07        
