Time [s]  /	Frequency [Hz] 	/	Power [dB]     
0.2842    /	2039.06        	/	6.22           
0.2842    /	2058.59        	/	-1.33          
0.2842    /	2078.12        	/	6.54           
0.2842    /	2097.66        	/	8.04           
0.2842    /	2117.19        	/	6.04           
0.2842    /	2136.72        	/	9.75           
0.2842    /	2156.25        	/	5.11           
0.2842    /	2175.78        	/	1.15           
0.2842    /	2195.31        	/	0.70           
0.2842    /	2214.84        	/	-9.40          
0.2842    /	2234.38        	/	-10.60         
0.2842    /	2253.91        	/	-16.32         
0.2842    /	2273.44        	/	-16.96         
0.2842    /	2292.97        	/	-1.41          
0.2842    /	2312.50        	/	-28.57         
0.2842    /	2332.03        	/	-37.71         
0.2842    /	2351.56        	/	-9.92          
0.2842    /	2371.09        	/	-23.39         
0.2842    /	2390.62        	/	-21.38         
0.2842    /	2410.16        	/	-11.96         
0.2842    /	2429.69        	/	-14.99         
0.2842    /	2449.22        	/	1.19           
0.2842    /	2468.75        	/	0.29           
0.2842    /	2488.28        	/	-17.60         
0.2842    /	2507.81        	/	-11.62         
0.2842    /	2527.34        	/	-4.96          
0.2842    /	2546.88        	/	-5.32          
0.2842    /	2566.41        	/	-29.17         
0.2842    /	2585.94        	/	-19.86         
0.2842    /	2605.47        	/	-12.04         
0.2842    /	2625.00        	/	-13.76         
0.2842    /	2644.53        	/	-10.12         
0.2842    /	2664.06        	/	-5.68          
0.2842    /	2683.59        	/	-10.03         
0.2842    /	2703.12        	/	-10.83         
0.2842    /	2722.66        	/	-10.40         
0.2842    /	2742.19        	/	-26.40         
0.2842    /	2761.72        	/	-14.80         
0.2842    /	2781.25        	/	-15.04         
0.2842    /	2800.78        	/	-3.48          
0.2842    /	2820.31        	/	-13.73         
0.2842    /	2839.84        	/	-19.71         
0.2842    /	2859.38        	/	-9.79          
0.2842    /	2878.91        	/	-16.51         
0.2842    /	2898.44        	/	-15.62         
0.2842    /	2917.97        	/	-25.11         
0.2842    /	2937.50        	/	-10.22         
0.2842    /	2957.03        	/	-9.08          
0.2842    /	2976.56        	/	-9.59          
0.2842    /	2996.09        	/	-18.49         
0.2842    /	3015.62        	/	-15.43         
0.2842    /	3035.16        	/	-12.85         
0.2842    /	3054.69        	/	-8.97          
0.2842    /	3074.22        	/	-9.75          
0.2842    /	3093.75        	/	-25.34         
0.2842    /	3113.28        	/	-19.60         
0.2842    /	3132.81        	/	-14.45         
0.2842    /	3152.34        	/	-9.42          
0.2842    /	3171.88        	/	-16.16         
0.2842    /	3191.41        	/	-6.05          
0.2842    /	3210.94        	/	-13.95         
0.2842    /	3230.47        	/	-13.71         
0.2842    /	3250.00        	/	-7.64          
0.2842    /	3269.53        	/	-22.45         
0.2842    /	3289.06        	/	-21.76         
0.2842    /	3308.59        	/	-4.98          
0.2842    /	3328.12        	/	-11.72         
0.2842    /	3347.66        	/	-4.98          
0.2842    /	3367.19        	/	-5.58          
0.2842    /	3386.72        	/	-7.69          
0.2842    /	3406.25        	/	-4.00          
0.2842    /	3425.78        	/	-2.60          
0.2842    /	3445.31        	/	-5.36          
0.2842    /	3464.84        	/	-11.26         
0.2842    /	3484.38        	/	-12.55         
0.2842    /	3503.91        	/	-15.70         
0.2842    /	3523.44        	/	-16.70         
0.2842    /	3542.97        	/	-13.13         
0.2842    /	3562.50        	/	-17.42         
0.2842    /	3582.03        	/	-29.14         
0.2842    /	3601.56        	/	-28.62         
0.2842    /	3621.09        	/	-8.22          
0.2842    /	3640.62        	/	-6.65          
0.2842    /	3660.16        	/	-4.79          
0.2842    /	3679.69        	/	-8.61          
0.2842    /	3699.22        	/	-19.21         
0.2842    /	3718.75        	/	-11.56         
0.2842    /	3738.28        	/	-0.39          
0.2842    /	3757.81        	/	-9.26          
0.2842    /	3777.34        	/	-6.27          
0.2842    /	3796.88        	/	-17.85         
0.2842    /	3816.41        	/	-13.61         
0.2842    /	3835.94        	/	-28.89         
0.2842    /	3855.47        	/	-5.88          
0.2842    /	3875.00        	/	-18.45         
0.2842    /	3894.53        	/	-16.61         
0.2842    /	3914.06        	/	-11.95         
0.2842    /	3933.59        	/	-20.76         
0.2842    /	3953.12        	/	-20.24         
0.2842    /	3972.66        	/	-28.16         
0.2913    /	7.81           	/	-19.99         
0.2913    /	27.34          	/	2.55           
0.2913    /	46.88          	/	4.27           
0.2913    /	66.41          	/	8.68           
0.2913    /	85.94          	/	9.33           
0.2913    /	105.47         	/	1.72           
0.2913    /	125.00         	/	7.82           
0.2913    /	144.53         	/	9.03           
0.2913    /	164.06         	/	12.40          
0.2913    /	183.59         	/	25.87          
0.2913    /	203.12         	/	31.87          
0.2913    /	222.66         	/	9.83           
0.2913    /	242.19         	/	3.34           
0.2913    /	261.72         	/	10.67          
0.2913    /	281.25         	/	6.01           
0.2913    /	300.78         	/	23.65          
0.2913    /	320.31         	/	26.60          
0.2913    /	339.84         	/	22.66          
0.2913    /	359.38         	/	22.09          
0.2913    /	378.91         	/	23.79          
0.2913    /	398.44         	/	12.20          
0.2913    /	417.97         	/	-14.29         
0.2913    /	437.50         	/	-13.43         
0.2913    /	457.03         	/	-14.30         
0.2913    /	476.56         	/	-28.18         
0.2913    /	496.09         	/	-3.41          
0.2913    /	515.62         	/	3.22           
0.2913    /	535.16         	/	-5.18          
0.2913    /	554.69         	/	-0.67          
0.2913    /	574.22         	/	25.80          
0.2913    /	593.75         	/	11.94          
0.2913    /	613.28         	/	2.54           
0.2913    /	632.81         	/	7.95           
0.2913    /	652.34         	/	2.66           
0.2913    /	671.88         	/	5.21           
0.2913    /	691.41         	/	-7.64          
0.2913    /	710.94         	/	-3.43          
0.2913    /	730.47         	/	-8.38          
0.2913    /	750.00         	/	-2.68          
0.2913    /	769.53         	/	2.74           
0.2913    /	789.06         	/	0.37           
0.2913    /	808.59         	/	-14.97         
0.2913    /	828.12         	/	-23.12         
0.2913    /	847.66         	/	-10.62         
0.2913    /	867.19         	/	-16.92         
0.2913    /	886.72         	/	-7.93          
0.2913    /	906.25         	/	3.92           
0.2913    /	925.78         	/	1.10           
0.2913    /	945.31         	/	-0.02          
0.2913    /	964.84         	/	-11.76         
0.2913    /	984.38         	/	-3.04          
0.2913    /	1003.91        	/	1.33           
0.2913    /	1023.44        	/	-11.03         
0.2913    /	1042.97        	/	-4.71          
0.2913    /	1062.50        	/	6.53           
0.2913    /	1082.03        	/	-4.34          
0.2913    /	1101.56        	/	-5.88          
0.2913    /	1121.09        	/	-2.26          
0.2913    /	1140.62        	/	-2.00          
0.2913    /	1160.16        	/	6.73           
0.2913    /	1179.69        	/	11.32          
0.2913    /	1199.22        	/	0.45           
0.2913    /	1218.75        	/	-5.14          
0.2913    /	1238.28        	/	8.99           
0.2913    /	1257.81        	/	7.43           
0.2913    /	1277.34        	/	-5.75          
0.2913    /	1296.88        	/	4.18           
0.2913    /	1316.41        	/	-6.25          
0.2913    /	1335.94        	/	9.99           
0.2913    /	1355.47        	/	10.03          
0.2913    /	1375.00        	/	-6.78          
0.2913    /	1394.53        	/	14.51          
0.2913    /	1414.06        	/	6.30           
0.2913    /	1433.59        	/	13.39          
0.2913    /	1453.12        	/	2.75           
0.2913    /	1472.66        	/	-1.71          
0.2913    /	1492.19        	/	0.52           
0.2913    /	1511.72        	/	-1.65          
0.2913    /	1531.25        	/	-4.74          
0.2913    /	1550.78        	/	-16.24         
0.2913    /	1570.31        	/	-2.68          
0.2913    /	1589.84        	/	-3.68          
0.2913    /	1609.38        	/	2.05           
0.2913    /	1628.91        	/	-8.26          
0.2913    /	1648.44        	/	-5.67          
0.2913    /	1667.97        	/	5.23           
0.2913    /	1687.50        	/	7.64           
0.2913    /	1707.03        	/	-1.71          
0.2913    /	1726.56        	/	-2.94          
0.2913    /	1746.09        	/	0.70           
0.2913    /	1765.62        	/	-0.32          
0.2913    /	1785.16        	/	-8.34          
0.2913    /	1804.69        	/	1.92           
0.2913    /	1824.22        	/	7.50           
0.2913    /	1843.75        	/	4.39           
0.2913    /	1863.28        	/	-6.38          
0.2913    /	1882.81        	/	3.81           
0.2913    /	1902.34        	/	6.10           
0.2913    /	1921.88        	/	4.80           
0.2913    /	1941.41        	/	1.62           
0.2913    /	1960.94        	/	2.61           
0.2913    /	1980.47        	/	-2.94          
0.2913    /	2000.00        	/	-18.81         
0.2913    /	2019.53        	/	-4.82          
0.2913    /	2039.06        	/	2.37           
0.2913    /	2058.59        	/	-4.55          
0.2913    /	2078.12        	/	5.54           
0.2913    /	2097.66        	/	7.63           
0.2913    /	2117.19        	/	8.51           
0.2913    /	2136.72        	/	6.84           
0.2913    /	2156.25        	/	-3.35          
0.2913    /	2175.78        	/	-8.49          
0.2913    /	2195.31        	/	-3.15          
0.2913    /	2214.84        	/	-14.18         
0.2913    /	2234.38        	/	-18.05         
0.2913    /	2253.91        	/	-19.98         
0.2913    /	2273.44        	/	-19.28         
0.2913    /	2292.97        	/	-3.21          
0.2913    /	2312.50        	/	-24.09         
0.2913    /	2332.03        	/	-29.43         
0.2913    /	2351.56        	/	-12.30         
0.2913    /	2371.09        	/	-22.18         
0.2913    /	2390.62        	/	-21.15         
0.2913    /	2410.16        	/	-8.77          
0.2913    /	2429.69        	/	-19.76         
0.2913    /	2449.22        	/	-2.40          
0.2913    /	2468.75        	/	-1.88          
0.2913    /	2488.28        	/	-22.35         
0.2913    /	2507.81        	/	-14.82         
0.2913    /	2527.34        	/	-3.88          
0.2913    /	2546.88        	/	-4.98          
0.2913    /	2566.41        	/	-32.92         
0.2913    /	2585.94        	/	-22.63         
0.2913    /	2605.47        	/	-11.46         
0.2913    /	2625.00        	/	-16.99         
0.2913    /	2644.53        	/	-7.80          
0.2913    /	2664.06        	/	-7.03          
0.2913    /	2683.59        	/	-5.46          
0.2913    /	2703.12        	/	-5.60          
0.2913    /	2722.66        	/	-12.56         
0.2913    /	2742.19        	/	-31.37         
0.2913    /	2761.72        	/	-14.64         
0.2913    /	2781.25        	/	-14.75         
0.2913    /	2800.78        	/	-1.04          
0.2913    /	2820.31        	/	-11.72         
0.2913    /	2839.84        	/	-17.53         
0.2913    /	2859.38        	/	-7.67          
0.2913    /	2878.91        	/	-14.19         
0.2913    /	2898.44        	/	-12.42         
0.2913    /	2917.97        	/	-20.88         
0.2913    /	2937.50        	/	-10.29         
0.2913    /	2957.03        	/	-10.99         
0.2913    /	2976.56        	/	-10.40         
0.2913    /	2996.09        	/	-26.91         
0.2913    /	3015.62        	/	-17.29         
0.2913    /	3035.16        	/	-8.21          
0.2913    /	3054.69        	/	-7.43          
0.2913    /	3074.22        	/	-9.43          
0.2913    /	3093.75        	/	-18.28         
0.2913    /	3113.28        	/	-24.81         
0.2913    /	3132.81        	/	-13.00         
0.2913    /	3152.34        	/	-7.07          
0.2913    /	3171.88        	/	-14.84         
0.2913    /	3191.41        	/	-7.07          
0.2913    /	3210.94        	/	-17.93         
0.2913    /	3230.47        	/	-11.70         
0.2913    /	3250.00        	/	-11.35         
0.2913    /	3269.53        	/	-21.29         
0.2913    /	3289.06        	/	-24.54         
0.2913    /	3308.59        	/	-8.69          
0.2913    /	3328.12        	/	-18.17         
0.2913    /	3347.66        	/	-5.21          
0.2913    /	3367.19        	/	-5.09          
0.2913    /	3386.72        	/	-8.44          
0.2913    /	3406.25        	/	-5.48          
0.2913    /	3425.78        	/	-6.51          
0.2913    /	3445.31        	/	-7.55          
0.2913    /	3464.84        	/	-7.41          
0.2913    /	3484.38        	/	-10.06         
0.2913    /	3503.91        	/	-12.91         
0.2913    /	3523.44        	/	-12.36         
0.2913    /	3542.97        	/	-18.05         
0.2913    /	3562.50        	/	-18.71         
0.2913    /	3582.03        	/	-28.04         
0.2913    /	3601.56        	/	-26.95         
0.2913    /	3621.09        	/	-9.36          
0.2913    /	3640.62        	/	-10.91         
0.2913    /	3660.16        	/	-5.97          
0.2913    /	3679.69        	/	-7.93          
0.2913    /	3699.22        	/	-20.90         
0.2913    /	3718.75        	/	-12.96         
0.2913    /	3738.28        	/	-3.17          
0.2913    /	3757.81        	/	-10.50         
0.2913    /	3777.34        	/	-6.55          
0.2913    /	3796.88        	/	-16.32         
0.2913    /	3816.41        	/	-15.70         
0.2913    /	3835.94        	/	-30.77         
0.2913    /	3855.47        	/	-5.12          
0.2913    /	3875.00        	/	-16.35         
0.2913    /	3894.53        	/	-18.22         
0.2913    /	3914.06        	/	-13.81         
0.2913    /	3933.59        	/	-17.46         
0.2913    /	3953.12        	/	-20.52         
0.2913    /	3972.66        	/	-29.16         
0.2983    /	7.81           	/	-20.52         
0.2983    /	27.34          	/	2.59           
0.2983    /	46.88          	/	7.66           
0.2983    /	66.41          	/	11.87          
0.2983    /	85.94          	/	10.78          
0.2983    /	105.47         	/	3.95           
0.2983    /	125.00         	/	9.36           
0.2983    /	144.53         	/	11.29          
0.2983    /	164.06         	/	14.46          
0.2983    /	183.59         	/	25.93          
0.2983    /	203.12         	/	31.85          
0.2983    /	222.66         	/	8.99           
0.2983    /	242.19         	/	3.54           
0.2983    /	261.72         	/	6.28           
0.2983    /	281.25         	/	4.68           
0.2983    /	300.78         	/	20.17          
0.2983    /	320.31         	/	14.38          
0.2983    /	339.84         	/	14.30          
0.2983    /	359.38         	/	22.22          
0.2983    /	378.91         	/	26.48          
0.2983    /	398.44         	/	9.69           
0.2983    /	417.97         	/	-17.29         
0.2983    /	437.50         	/	-15.21         
0.2983    /	457.03         	/	-14.47         
0.2983    /	476.56         	/	-23.67         
0.2983    /	496.09         	/	-2.44          
0.2983    /	515.62         	/	0.32           
0.2983    /	535.16         	/	-6.49          
0.2983    /	554.69         	/	-0.24          
0.2983    /	574.22         	/	23.01          
0.2983    /	593.75         	/	9.32           
0.2983    /	613.28         	/	-0.65          
0.2983    /	632.81         	/	-1.95          
0.2983    /	652.34         	/	-7.47          
0.2983    /	671.88         	/	0.93           
0.2983    /	691.41         	/	-9.87          
0.2983    /	710.94         	/	-1.78          
0.2983    /	730.47         	/	-6.58          
0.2983    /	750.00         	/	0.41           
0.2983    /	769.53         	/	2.97           
0.2983    /	789.06         	/	1.15           
0.2983    /	808.59         	/	-15.99         
0.2983    /	828.12         	/	-23.26         
0.2983    /	847.66         	/	-11.87         
0.2983    /	867.19         	/	-22.17         
0.2983    /	886.72         	/	-12.27         
0.2983    /	906.25         	/	2.85           
0.2983    /	925.78         	/	1.62           
0.2983    /	945.31         	/	-1.01          
0.2983    /	964.84         	/	-18.87         
0.2983    /	984.38         	/	-6.34          
0.2983    /	1003.91        	/	1.26           
0.2983    /	1023.44        	/	-12.23         
0.2983    /	1042.97        	/	1.40           
0.2983    /	1062.50        	/	7.41           
0.2983    /	1082.03        	/	-6.58          
0.2983    /	1101.56        	/	-6.10          
0.2983    /	1121.09        	/	-1.41          
0.2983    /	1140.62        	/	-2.46          
0.2983    /	1160.16        	/	4.35           
0.2983    /	1179.69        	/	9.40           
0.2983    /	1199.22        	/	-1.67          
0.2983    /	1218.75        	/	-7.26          
0.2983    /	1238.28        	/	5.85           
0.2983    /	1257.81        	/	-3.34          
0.2983    /	1277.34        	/	-11.19         
0.2983    /	1296.88        	/	0.40           
0.2983    /	1316.41        	/	-6.51          
0.2983    /	1335.94        	/	9.31           
0.2983    /	1355.47        	/	8.47           
0.2983    /	1375.00        	/	-2.42          
0.2983    /	1394.53        	/	10.23          
0.2983    /	1414.06        	/	1.74           
0.2983    /	1433.59        	/	15.63          
0.2983    /	1453.12        	/	4.67           
0.2983    /	1472.66        	/	-0.00          
0.2983    /	1492.19        	/	3.43           
0.2983    /	1511.72        	/	1.92           
0.2983    /	1531.25        	/	-2.04          
0.2983    /	1550.78        	/	-15.09         
0.2983    /	1570.31        	/	-6.66          
0.2983    /	1589.84        	/	-1.82          
0.2983    /	1609.38        	/	2.01           
0.2983    /	1628.91        	/	-8.49          
0.2983    /	1648.44        	/	-9.39          
0.2983    /	1667.97        	/	-0.78          
0.2983    /	1687.50        	/	5.07           
0.2983    /	1707.03        	/	0.39           
0.2983    /	1726.56        	/	-3.78          
0.2983    /	1746.09        	/	-2.22          
0.2983    /	1765.62        	/	2.26           
0.2983    /	1785.16        	/	-8.88          
0.2983    /	1804.69        	/	0.92           
0.2983    /	1824.22        	/	10.62          
0.2983    /	1843.75        	/	4.83           
0.2983    /	1863.28        	/	-11.90         
0.2983    /	1882.81        	/	1.84           
0.2983    /	1902.34        	/	4.93           
0.2983    /	1921.88        	/	6.79           
0.2983    /	1941.41        	/	2.80           
0.2983    /	1960.94        	/	3.21           
0.2983    /	1980.47        	/	-0.85          
0.2983    /	2000.00        	/	-19.19         
0.2983    /	2019.53        	/	-5.17          
0.2983    /	2039.06        	/	2.62           
0.2983    /	2058.59        	/	-3.98          
0.2983    /	2078.12        	/	5.80           
0.2983    /	2097.66        	/	5.42           
0.2983    /	2117.19        	/	9.45           
0.2983    /	2136.72        	/	4.10           
0.2983    /	2156.25        	/	-7.10          
0.2983    /	2175.78        	/	-11.77         
0.2983    /	2195.31        	/	-6.56          
0.2983    /	2214.84        	/	-16.00         
0.2983    /	2234.38        	/	-18.04         
0.2983    /	2253.91        	/	-25.08         
0.2983    /	2273.44        	/	-20.09         
0.2983    /	2292.97        	/	-3.92          
0.2983    /	2312.50        	/	-19.02         
0.2983    /	2332.03        	/	-19.71         
0.2983    /	2351.56        	/	-13.97         
0.2983    /	2371.09        	/	-17.22         
0.2983    /	2390.62        	/	-20.39         
0.2983    /	2410.16        	/	-6.30          
0.2983    /	2429.69        	/	-22.11         
0.2983    /	2449.22        	/	-5.37          
0.2983    /	2468.75        	/	-5.01          
0.2983    /	2488.28        	/	-22.82         
0.2983    /	2507.81        	/	-17.21         
0.2983    /	2527.34        	/	-3.92          
0.2983    /	2546.88        	/	-4.67          
0.2983    /	2566.41        	/	-22.24         
0.2983    /	2585.94        	/	-15.85         
0.2983    /	2605.47        	/	-8.14          
0.2983    /	2625.00        	/	-17.59         
0.2983    /	2644.53        	/	-6.06          
0.2983    /	2664.06        	/	-9.35          
0.2983    /	2683.59        	/	-1.50          
0.2983    /	2703.12        	/	-1.51          
0.2983    /	2722.66        	/	-14.44         
0.2983    /	2742.19        	/	-27.55         
0.2983    /	2761.72        	/	-12.60         
0.2983    /	2781.25        	/	-14.12         
0.2983    /	2800.78        	/	0.36           
0.2983    /	2820.31        	/	-9.00          
0.2983    /	2839.84        	/	-16.04         
0.2983    /	2859.38        	/	-5.48          
0.2983    /	2878.91        	/	-12.59         
0.2983    /	2898.44        	/	-9.87          
0.2983    /	2917.97        	/	-19.08         
0.2983    /	2937.50        	/	-11.34         
0.2983    /	2957.03        	/	-11.97         
0.2983    /	2976.56        	/	-9.72          
0.2983    /	2996.09        	/	-31.01         
0.2983    /	3015.62        	/	-18.20         
0.2983    /	3035.16        	/	-3.54          
0.2983    /	3054.69        	/	-5.28          
0.2983    /	3074.22        	/	-8.35          
0.2983    /	3093.75        	/	-11.32         
0.2983    /	3113.28        	/	-26.66         
0.2983    /	3132.81        	/	-12.47         
0.2983    /	3152.34        	/	-5.62          
0.2983    /	3171.88        	/	-11.88         
0.2983    /	3191.41        	/	-8.92          
0.2983    /	3210.94        	/	-19.47         
0.2983    /	3230.47        	/	-9.93          
0.2983    /	3250.00        	/	-15.02         
0.2983    /	3269.53        	/	-17.63         
0.2983    /	3289.06        	/	-24.18         
0.2983    /	3308.59        	/	-12.75         
0.2983    /	3328.12        	/	-22.18         
0.2983    /	3347.66        	/	-6.28          
0.2983    /	3367.19        	/	-4.68          
0.2983    /	3386.72        	/	-9.34          
0.2983    /	3406.25        	/	-8.16          
0.2983    /	3425.78        	/	-10.35         
0.2983    /	3445.31        	/	-7.74          
0.2983    /	3464.84        	/	-4.58          
0.2983    /	3484.38        	/	-9.69          
0.2983    /	3503.91        	/	-9.90          
0.2983    /	3523.44        	/	-8.20          
0.2983    /	3542.97        	/	-21.34         
0.2983    /	3562.50        	/	-18.43         
0.2983    /	3582.03        	/	-25.65         
0.2983    /	3601.56        	/	-25.83         
0.2983    /	3621.09        	/	-11.98         
0.2983    /	3640.62        	/	-17.11         
0.2983    /	3660.16        	/	-8.15          
0.2983    /	3679.69        	/	-7.90          
0.2983    /	3699.22        	/	-23.12         
0.2983    /	3718.75        	/	-12.36         
0.2983    /	3738.28        	/	-5.93          
0.2983    /	3757.81        	/	-11.71         
0.2983    /	3777.34        	/	-7.01          
0.2983    /	3796.88        	/	-15.70         
0.2983    /	3816.41        	/	-17.03         
0.2983    /	3835.94        	/	-28.60         
0.2983    /	3855.47        	/	-4.63          
0.2983    /	3875.00        	/	-16.45         
0.2983    /	3894.53        	/	-19.30         
0.2983    /	3914.06        	/	-16.07         
0.2983    /	3933.59        	/	-14.36         
0.2983    /	3953.12        	/	-21.01         
0.2983    /	3972.66        	/	-29.56         
0.3054    /	7.81           	/	-20.41         
0.3054    /	27.34          	/	1.31           
0.3054    /	46.88          	/	9.45           
0.3054    /	66.41          	/	14.28          
0.3054    /	85.94          	/	10.94          
0.3054    /	105.47         	/	4.34           
0.3054    /	125.00         	/	9.29           
0.3054    /	144.53         	/	11.57          
0.3054    /	164.06         	/	14.81          
0.3054    /	183.59         	/	25.87          
0.3054    /	203.12         	/	30.93          
0.3054    /	222.66         	/	7.73           
0.3054    /	242.19         	/	6.55           
0.3054    /	261.72         	/	4.37           
0.3054    /	281.25         	/	4.87           
0.3054    /	300.78         	/	18.85          
0.3054    /	320.31         	/	7.28           
0.3054    /	339.84         	/	9.50           
0.3054    /	359.38         	/	22.85          
0.3054    /	378.91         	/	28.73          
0.3054    /	398.44         	/	6.05           
0.3054    /	417.97         	/	-15.00         
0.3054    /	437.50         	/	-15.82         
0.3054    /	457.03         	/	-15.44         
0.3054    /	476.56         	/	-20.31         
0.3054    /	496.09         	/	0.04           
0.3054    /	515.62         	/	-0.65          
0.3054    /	535.16         	/	-4.87          
0.3054    /	554.69         	/	-1.40          
0.3054    /	574.22         	/	19.57          
0.3054    /	593.75         	/	7.89           
0.3054    /	613.28         	/	-3.84          
0.3054    /	632.81         	/	-6.18          
0.3054    /	652.34         	/	-9.17          
0.3054    /	671.88         	/	1.24           
0.3054    /	691.41         	/	-12.00         
0.3054    /	710.94         	/	-0.09          
0.3054    /	730.47         	/	-5.77          
0.3054    /	750.00         	/	3.14           
0.3054    /	769.53         	/	3.73           
0.3054    /	789.06         	/	1.81           
0.3054    /	808.59         	/	-15.70         
0.3054    /	828.12         	/	-21.61         
0.3054    /	847.66         	/	-10.73         
0.3054    /	867.19         	/	-22.10         
0.3054    /	886.72         	/	-10.63         
0.3054    /	906.25         	/	1.66           
0.3054    /	925.78         	/	1.79           
0.3054    /	945.31         	/	-1.56          
0.3054    /	964.84         	/	-17.36         
0.3054    /	984.38         	/	-6.91          
0.3054    /	1003.91        	/	0.15           
0.3054    /	1023.44        	/	-11.97         
0.3054    /	1042.97        	/	5.93           
0.3054    /	1062.50        	/	7.14           
0.3054    /	1082.03        	/	-5.32          
0.3054    /	1101.56        	/	-1.34          
0.3054    /	1121.09        	/	-0.42          
0.3054    /	1140.62        	/	-4.32          
0.3054    /	1160.16        	/	0.27           
0.3054    /	1179.69        	/	6.78           
0.3054    /	1199.22        	/	-1.11          
0.3054    /	1218.75        	/	-6.16          
0.3054    /	1238.28        	/	5.18           
0.3054    /	1257.81        	/	-7.07          
0.3054    /	1277.34        	/	-9.25          
0.3054    /	1296.88        	/	1.26           
0.3054    /	1316.41        	/	-3.37          
0.3054    /	1335.94        	/	10.15          
0.3054    /	1355.47        	/	8.78           
0.3054    /	1375.00        	/	0.17           
0.3054    /	1394.53        	/	5.43           
0.3054    /	1414.06        	/	-0.48          
0.3054    /	1433.59        	/	17.02          
0.3054    /	1453.12        	/	9.64           
0.3054    /	1472.66        	/	3.46           
0.3054    /	1492.19        	/	6.84           
0.3054    /	1511.72        	/	4.59           
0.3054    /	1531.25        	/	-0.74          
0.3054    /	1550.78        	/	-13.38         
0.3054    /	1570.31        	/	-9.76          
0.3054    /	1589.84        	/	-0.39          
0.3054    /	1609.38        	/	1.91           
0.3054    /	1628.91        	/	-7.60          
0.3054    /	1648.44        	/	-10.66         
0.3054    /	1667.97        	/	-8.94          
0.3054    /	1687.50        	/	1.38           
0.3054    /	1707.03        	/	3.56           
0.3054    /	1726.56        	/	-2.80          
0.3054    /	1746.09        	/	-0.92          
0.3054    /	1765.62        	/	3.92           
0.3054    /	1785.16        	/	-10.23         
0.3054    /	1804.69        	/	-1.90          
0.3054    /	1824.22        	/	12.38          
0.3054    /	1843.75        	/	4.55           
0.3054    /	1863.28        	/	-15.44         
0.3054    /	1882.81        	/	1.09           
0.3054    /	1902.34        	/	3.87           
0.3054    /	1921.88        	/	9.92           
0.3054    /	1941.41        	/	5.51           
0.3054    /	1960.94        	/	3.07           
0.3054    /	1980.47        	/	1.35           
0.3054    /	2000.00        	/	-17.45         
0.3054    /	2019.53        	/	-4.09          
0.3054    /	2039.06        	/	4.66           
0.3054    /	2058.59        	/	-1.42          
0.3054    /	2078.12        	/	5.72           
0.3054    /	2097.66        	/	1.54           
0.3054    /	2117.19        	/	9.00           
0.3054    /	2136.72        	/	1.16           
0.3054    /	2156.25        	/	-6.09          
0.3054    /	2175.78        	/	-12.03         
0.3054    /	2195.31        	/	-10.62         
0.3054    /	2214.84        	/	-15.86         
0.3054    /	2234.38        	/	-12.97         
0.3054    /	2253.91        	/	-27.57         
0.3054    /	2273.44        	/	-19.66         
0.3054    /	2292.97        	/	-4.29          
0.3054    /	2312.50        	/	-13.33         
0.3054    /	2332.03        	/	-12.07         
0.3054    /	2351.56        	/	-13.47         
0.3054    /	2371.09        	/	-10.98         
0.3054    /	2390.62        	/	-17.48         
0.3054    /	2410.16        	/	-4.79          
0.3054    /	2429.69        	/	-24.18         
0.3054    /	2449.22        	/	-8.41          
0.3054    /	2468.75        	/	-8.82          
0.3054    /	2488.28        	/	-19.80         
0.3054    /	2507.81        	/	-17.52         
0.3054    /	2527.34        	/	-4.13          
0.3054    /	2546.88        	/	-3.91          
0.3054    /	2566.41        	/	-13.31         
0.3054    /	2585.94        	/	-8.18          
0.3054    /	2605.47        	/	-4.44          
0.3054    /	2625.00        	/	-13.69         
0.3054    /	2644.53        	/	-5.83          
0.3054    /	2664.06        	/	-11.30         
0.3054    /	2683.59        	/	1.57           
0.3054    /	2703.12        	/	1.22           
0.3054    /	2722.66        	/	-15.58         
0.3054    /	2742.19        	/	-20.61         
0.3054    /	2761.72        	/	-10.38         
0.3054    /	2781.25        	/	-12.18         
0.3054    /	2800.78        	/	0.48           
0.3054    /	2820.31        	/	-7.89          
0.3054    /	2839.84        	/	-15.50         
0.3054    /	2859.38        	/	-3.39          
0.3054    /	2878.91        	/	-10.30         
0.3054    /	2898.44        	/	-8.04          
0.3054    /	2917.97        	/	-19.53         
0.3054    /	2937.50        	/	-13.69         
0.3054    /	2957.03        	/	-12.36         
0.3054    /	2976.56        	/	-7.86          
0.3054    /	2996.09        	/	-28.98         
0.3054    /	3015.62        	/	-18.27         
0.3054    /	3035.16        	/	-0.30          
0.3054    /	3054.69        	/	-3.04          
0.3054    /	3074.22        	/	-6.09          
0.3054    /	3093.75        	/	-5.97          
0.3054    /	3113.28        	/	-23.62         
0.3054    /	3132.81        	/	-12.98         
0.3054    /	3152.34        	/	-5.34          
0.3054    /	3171.88        	/	-9.33          
0.3054    /	3191.41        	/	-11.62         
0.3054    /	3210.94        	/	-19.94         
0.3054    /	3230.47        	/	-9.09          
0.3054    /	3250.00        	/	-16.45         
0.3054    /	3269.53        	/	-14.62         
0.3054    /	3289.06        	/	-20.70         
0.3054    /	3308.59        	/	-15.75         
0.3054    /	3328.12        	/	-20.97         
0.3054    /	3347.66        	/	-7.46          
0.3054    /	3367.19        	/	-5.24          
0.3054    /	3386.72        	/	-10.05         
